site_code,reference_id,period_id,site_type_id,context_id,notes,assemblage_date
CHART01,78,8,8,0,,Roman
CHAS001,197,8,13,0,,
CHEAP01,40,11,12,0,Shed antler.,1150-1200 AD
CHEDD01,62,9,6,0,(intrusive?),pre 930
CHEDD02,129,10,7,0,,early medieval/medieval
CHEDD03,160,11,99,0,Period 6 - late 13th-16th Century,
CHELM01,170,14,99,0,"The fanual remains were published by Jackson (1962) 'The vertebrate and molluscan fauna (Chelm's Coombe, Cheddar).",
CHER001,194,3,99,0,,
CHEWV01,97,8,13,0,(unstratified),Roman
CHMIE01,134,14,99,0,,Late Pleistocene
CITIZ01,54,9,12,3,periods after 12th c. not included here,11th/12th century AD
COMBE01,170,14,2,0,The site is located by a small dry valley one kilometre south of the Dordogne River in southwest France.,
CORN001,182,11,12,0,,
COWDR01,83,8,8,3,,early Roman
CUCKO01,87,11,12,3,Unusual deposit?<br />Young fallow deer skull <1yr.,1300 to 1350 AD
DEMIR01,98,4,9,0,"The measurements given in the report provide the range, the average, and the difference (see pg.75).",Bronze Age
DIMIT01,124,2,9,0,Unpublished PhD thesis.<br />This site has been entred twice see also 76.,Neolithic (MN-LLN)
DIMIT01,125,3,9,0,This site has been entred twice see also 125.,Neolithic/Bronze Age
DJADO01,86,11,8,0,,Medieval
DOILL01,71,11,1,0,Side given in report.,12th century AD
DOMPL01,63,11,12,0,,12th to 17th century AD
DONEG01,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB015. Death = 1997/1998",
DONEG02,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Female Red Deer, ID = TB016. Death = 18/12/1998",
DONEG03,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Female Red Deer, ID = TB017. Death = 26/12/1998",
DONEG04,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Female Red Deer, ID = TB019. Death = 1997/1998",
DONEG05,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB/JH.",
DONEG06,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Female Red Deer, ID = Churchill 39kg 10/1/00. Death = 10/01/2000",
DONEG07,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB002. Death = September 1997",
DONEG08,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB011. Death = 1997/1998",
DONEG09,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Red Deer, ID = TB004. Incorrectly labelled 'male'; pelvis is female - probably mixed up with another specimen",
DONEG10,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB007. Death = 1997/1998",
DONEG11,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB010. Death = 1997/1998",
DONEG12,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB012. Death = 1997/1998",
DONEG13,167,13,99,0,"Irish Deer Society, Donegeal, Ireland - Male Red Deer, ID = TB013. Death = 1997/1998",
DONEG14,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB014. Death = 1997/1998",
DONEG15,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Female Red Deer, ID = TB018. Death = 29/12/1998",
DONEG16,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB030. Death = 19/09/1999",
DONEG17,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = Classy 6/10/00. Death = 06/10/1999",
DONEG18,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = 1/10/99 old male. Death = 01/10/1999",
DONEG19,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = 24/10/1999. Death = 24/10/1999",
DONEG20,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = Donegal Red. Death = 24/10/1999 or 26/10/1999",
DONEG21,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB001. Death = 05/09/1997",
DONEG22,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB003. Death = September/October 1997",
DONEG23,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB005. Death = October/December 1997",
DONEG24,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB006. Death = January 1998",
DONEG25,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB008. Death = 1997/1998",
DONEG26,167,13,99,0,"Irish Deer Society, Donegal, Ireland - Male Red Deer, ID = TB009. Death = 20/08/1997",
DORCH01,53,8,8,0,,4th century AD
DUDLE01,113,9,12,0,Only data for phases 1-4 (pre 1071-1262) entered.<br />see Thomas 2005:9  for measurement type refs,1100 AD (phase 1-2)
DUDLE01,113,11,12,0,,1262-1533
DUDLE01,113,12,12,0,,1533-1750
DURRI01,171,3,8,0,,
EASTK01,161,8,99,0,,
ELWA001,187,1,2,0,"The site is a complex of chambers in a cave and the adjacent terrace dated to the Natufian period. The bones are from the new terrace excavations that started in 1995, which contexts are from the Late Natufian (c. 10,500-9,500 BC).",
EMPOR01,32,3,8,0,"There is a possible mistake in this report - it seems as though some of these measurments should be on distal epiphyses but are labelled as proximal, see Table 7,  pg. 688<br />Also has measurements of fallow bones from British Museum for comparison.",Neolithic-Bronze Age
EXETE01,81,10,12,0,,1000-1200 AD
EYNSH01,5,9,3,0,,12th century AD
EYNSH01,5,11,3,0,,Late 13th to 15th century AD
EZERO01,86,3,8,0,Total count from all phases.,Late Neolithic- Early Bronze Age
FACCO01,104,9,6,0,,Saxon
FACCO01,104,10,6,0,,Norman
FACCO01,104,11,6,0,,Medieval
FENNI01,100,9,12,2,,12th century AD
FIKIR01,17,2,8,0,"Results from 1952 and 1953/54 excavations have been combined here, presented separately in the report.",Neolithic
FISHB01,130,8,99,0,,1st-5th century AD
FISHB01,168,8,7,0,,
FOXCO01,35,11,8,0,,13th/14th century AD
FRANK01,166,13,99,0,"From von Opel zoo (Kronberg, Germany).",
FRANK02,166,13,99,0,"From von Opel zoo (Kronberg, Germany). Old individual and few parts of the skeleton exhibit exostosis, which may influence otseometric analysis. Measurements that can be biased are mentioned in notes.",
FRANK03,166,13,99,0,"From von Opel zoo (Kronberg, Germany). Old individual and few parts of the skeleton exhibit exostosis, which may influence otseometric analysis. Measurements that can be biased are mentioned in notes.",
GARED01,170,14,99,0,"The site has two rock shelters on to the east and one to the west as well as a small cave on the right bank of the Dordogne river. Three excavations have been carried out on the site, in 1884 by Testut, another in 1912 by Peyroni and in 1957 by Bordes and Fitte. The Faunal remains collected are from",
GEIEN01,170,14,2,0,The cave is located in the Ach valley in the Swabian Alb. It is situated on a steep cliff around 50m above todays valley-floor. It was first investigated by Wagner in 1973 and has been continued to be studied by Hahn. The site has two Aurignacian and a single Gravettian occupation are represented at,
GEORG01,67,11,12,0,,mid 14th century AD
GOLJA01,86,1,9,0,,Aneolithic
GOLTH01,69,9,6,0,,850-1000 A.D (period3/4)
GOLTH02,129,10,99,0,"The Goltho archive, now stored at Lincoln Museum, was re-analysed at the begining of 2010. The animal bone assemblage does not appear to reflect the published zooarchaeological report",Saxo-Norman
GORTY01,120,9,12,0,,6th-7th AD (Byzantine)
GRAVI01,117,6,12,0,Question mark dama for measurments.,150-25 BC
GREEN01,11,11,1,0,,14th century AD
GUILD01,139,11,1,0,,medieval
GULPI01,111,2,8,0,Tools.,5000-4500 BC
HAMAL01,122,11,12,0,Periods combined.,late 12th to early 15th century
HAREC01,16,9,12,4,Metrics: Bendrey pers. comm.,Middle Saxon
HAYME01,92,8,8,0,,1st to 4th century AD
HEFZ001,187,14,8,0,There are radiometric dates available for this site (for which there is two major horizons: layers 1-6 & 7-18) and was assigned to the Geometric Kebaran and contemporaneous of Neve-David.,
HENLE01,68,8,10,0,,Roman
HIGHP01,172,6,2,0,,
HOHLE01,170,14,2,0,"The site is located 2.5km from Kallenhardt, northwestern Germany. The first traces of prehistoric occupation is in the form of stone artifacts and bone remains (Baales 1996). Excavations were carried out in 1920s and 1930s by Hennebolle and Andree. Though they failed to record information about ther",
HOYUC01,143,2,1,0,,neolithic
HUNG001,203,11,12,0,,
HUNGA01,166,13,99,0,From zoo.,
HUNGA02,166,13,99,0,NB: These fallow deer were zoo animals.,
HUNGA03,166,13,99,0,NB: These fallow deer were zoo animals.,
HYDEA01,153,11,12,0,Recovered from a Roman context but radiocarbon dated to the medieval period.,
IL30001,189,2,8,0,,
IL30001,189,4,8,0,,
KABIL01,86,6,99,0,,Hellenisitic
KABIL01,194,8,99,0,,
KABIR01,18,7,10,0,See  report pg. 23 for description of measurements (in German).,Hellenistic/Roman
KALYT01,58,2,2,0,"Some metrical data in graphs, but detailed measurements not provided. Discussion as to which deer species - most likely fallow based on metrics",Neolithic
KARAN01,86,3,9,0,Total count from all phases.,Neolithic/Bronze Age
KASTA01,99,4,8,0,See report for description of measurements (in German).,Bronze Age
KASTA02,127,4,8,0,,Bronze Age
KAVOU01,74,6,8,0,,760-700 BC
KENTS01,170,14,99,0,"Is a multi-period site originally dug by Pengelly in the last century and then re-appraised by Campbell and Sampson (1971). Two radio carbon dates have been collected from the Late Palaeolithic 'layer' though not from the reindeer bones themselves. 12,325 +/- 120 bc and 10,230 +/- 100 bc. However, s",
KESSL01,170,14,2,0,"The cave is situated about 1 km west of Thayingen near the Swiss-German border. Discovered in 1873 by Merk and was excavated the following year. The excavation methods were crude and although much was probably lost there was a large amount of Magdalenian flint artifacts, bones and antler tools.",
KILIS01,131,4,9,0,,Bronze Age
KILIS01,131,6,9,0,,Iron Age
KILIS01,131,7,9,0,,Iron Age/Roman
KILK001,182,11,99,0,,
KILK001,183,11,99,0,,
KILLA01,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = West Meadow Stag.",
KILLA02,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1A. Death = 01/12/1998",
KILLA03,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1H. Death = 10/12/1998",
KILLA04,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1I. Death = 14/12/1998",
KILLA05,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1K. Death = 16/12/1998",
KILLA06,167,13,99,0,"Killarney National Park, County Kerry Ireland - Female Red Deer, ID = 1L. Death = 17/12/1998",
KILLA07,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1Q. Death = 03/02/1999",
KILLA08,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AD. Recovered 12/12/2000",
KILLA09,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AE. Death = 04/12/2000",
KILLA10,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = Feb 00 No.2",
KILLA11,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = No. 81. Death = 19/02/1999",
KILLA12,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = No. 87. Death = 22/02/1999",
KILLA13,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AI.",
KILLA14,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AN. Death = 25/02/1999",
KILLA15,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = Reed wds.",
KILLA16,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1S",
KILLA17,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AJ",
KILLA18,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = Feb 00 No.3",
KILLA19,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = No. 84. Death = 20/02/1999",
KILLA20,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1J. Death = 17/12/1998",
KILLA21,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1N. Death = 01/01/1999",
KILLA22,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1U.",
KILLA23,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1V.",
KILLA24,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1X.",
KILLA25,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AB",
KILLA26,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AF. Death = 30/11/2000",
KILLA27,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AH. Death = 03/12/2000",
KILLA28,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AL. Death = 22/02/2001",
KILLA29,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AM. Death = 16/02/1999",
KILLA30,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AO. Death = 16/02/1999",
KILLA31,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1AS. Death = Feb-March 2001",
KILLA32,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = Blue G.",
KILLA33,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = Feb 00 No.4",
KILLA34,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = No. 82. Death = 19/02/1999",
KILLA35,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = No. 86. Death = 22/02/1999",
KILLA36,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = Orange D. Death = 07/02/2000",
KILLA37,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = No.1 PD",
KILLA38,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Red Deer, ID = unk",
KILLA39,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1F. Death = 01/12/1998",
KILLA40,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Red Deer, ID = Redi ? Astrag. Death = 01/12/1998",
KILLA41,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AT",
KILLA42,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Red Deer, ID = unlabelled scapula",
KILLA43,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1B. Death = 01/12/1998.",
KILLA44,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1M.",
KILLA45,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1O. Natural death, retrieved 05/02/1999",
KILLA46,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1R. Natural death = 23/02/1999",
KILLA47,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1T.",
KILLA48,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1W.",
KILLA49,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1Y.",
KILLA50,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1Z",
KILLA51,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AA.",
KILLA52,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AC. Death = 17/12/2000",
KILLA53,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AG. Recovered 19/10/2000",
KILLA54,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AK. Death = 22/10/2000, found dead - rut antler injury",
KILLA55,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AP. Death = 16/02/1999",
KILLA56,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AQ. Death = 26/02/2001",
KILLA57,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = 1AR. Death = Feb 2001",
KILLA58,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = Cores Flats Stag",
KILLA59,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = Innisfallan Island",
KILLA60,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = No. 1. Death = September 1999",
KILLA61,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Male Red Deer, ID = No. 70. Death = 14/02/1999",
KILLA62,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1C. Death = 01/12/1998",
KILLA63,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1D. Death = 01/12/1998",
KILLA64,167,13,99,0,"Killarney National Park, County Kerry Ireland - Female Red Deer, ID = 1E. Death = 01/12/1998",
KILLA65,167,13,99,0,"Killarney National Park, County Kerry, Ireland - Female Red Deer, ID = 1G. Death = 14/12/1998",
KINE001,209,4,8,0,,
KINE001,209,6,8,0,,
KINE001,209,11,8,0,,
KINGS01,88,9,12,0,Periods I (1050-1250) and II (1250-1350) combined. Only 1 fragment from period I.,1050-1250 AD
KNIA001,194,7,99,0,,
KNIGS01,170,14,99,0,Konigsaue is an open air site in the Harz mountains foreland which is Northwest from the city of Halle. Excavations took place in 1963-64 under Mania and Toepfer (1973) the time span is between the Eemian and Holocene. The number of Rangifer (reindeer) bone fragments was not large and only a fractio,
KNOSS01,64,4,7,0,Quantification method MinAU (minimum anatomical units),Bronze Age
KNOSS01,66,8,10,0,Probably fallow.,Roman
KONIS01,103,1,2,0,Question mark fallow deer.,Mesolithic/Neolithic
KORTI01,3,2,99,0,Not sure if Dama dama or Dama mesopotamica,Pre Pottery Neolithic
KORYK01,114,1,2,0,Radius & ulna fused.,Mesolithic/Neolithic
KOUKL01,57,4,8,4,,1600 - 1050 BC (Late Bronze Age)
KZIN001,188,14,2,0,,
LAMAD01,170,14,99,0,"La Madeleine is a rock shelter site and is situated on the right bank of Vezere in France. First explored in 1963 by Lartet and Christy. Magdalenian, Magdalenian IV and Magdalenian VI have all been identified at the site.",
LAUGE01,170,14,99,0,"Laugerie Haute is a rock shelter located 2 km from the town of Les Eyzies in France. Discovered in 1860 by Lartet and Christy, it have been excavted multiple times, Massenat and Girod 1892, Capitan 1895, Capitan, Breuil and Peyrony in 1901, Hauser 1907, Peyrony 1921, 1927 and 1932-1935, Peyrony and",
LAUGH01,141,11,1,0,,12th-14th
LAUGH01,141,12,1,0,,16th-17th century
LAUNC01,1,11,1,0,,late 12th - 15th century
LAUNC01,1,12,1,0,,17th - 20th century
LB19501,152,8,99,0,,
LECOL01,72,8,13,0,Information taken from data in King 1985.,1st century BC to  2nd century AD
LEWE001,129,11,99,0,,
LIME001,182,11,99,0,,
LURKL01,107,11,12,0,Hind quarters make up over 60% of bones present.,13th/14th century AD
MAGNA01,24,6,8,0,Additional red deer/fallow deer 3.,4th century BC
MAKRI01,43,2,8,0,,5500-4000 BC
MASSE01,20,2,8,0,"""worked fragment of the upper palmated part of an antler""",Neolithic
MAURE01,78,8,99,0,Shed antler.,2nd to 3rd century AD
MEIEN01,170,14,99,0,This is an open air site in a tunnel valley near Hamburg. It is split into two sites Meiendorf and Stellmoor that are split into different periods. It was excavated in the 1930s by Rust. It was an ideal place for Late Palaeolithic people to hunt migrating reindeer herds due to the valleys long narro,
MESSI01,126,4,11,0,"Unpublished reports, data from Yannouli & Trantalidou 1999.",3000 - 2000 BC (Early Bronze Age)
MICHA01,86,4,8,0,The maxilla has 3 molars.,Bronze Age
MIDDL01,60,11,12,0,,1100 to 1400 AD
MONKT01,15,8,13,0,,1st to 3rd century AD
MONTE01,6,8,99,0,,Roman
MONTE02,73,8,8,0,"fallow:<br />2 radius, phase 3, late Roman<br />1 radius, phase 5, late 8th century<br />1 metacarpal, phase 6, 10th/11th century",Late Roman- 10/11th c.AD
MORG001,208,4,99,0,,
MOUNT01,4,11,6,0,Phases 5 (late 12th-early 13th c.) and 6 (mid-late 13thc.) combined.,12th -13th century AD
MUNIC01,166,13,99,0,"From Tierpark Hellabrunn (Munich, Germany). Originally from von Opel zoo (Kronberg, Germany).",
MUNIC02,166,13,99,0,"From Tierpark Hellabrunn (Munich, Germany).",
MUNIC03,166,13,99,0,"From Tierpark Hellabrunn (Munich, Germany). Originally from von Opel zoo (Kronberg, Germany). Old individual and a few parts of the skeleton exhibit exostosis, which may influence osteometric analysis. Measurements that can be strongly biased are mentioned in notes.",
MUNIC04,166,13,99,0,"Wild specimen that was captured near Harmala (Khuzistan, Iran). It is specimen (A) mentioned in Haltenorth (1959: 22, Abb. 34-37). Haltenorth, T. 1959. Beitrag zur Kenntis des Metopotamischen Damhirsches – Cervus (Dama) mesopotamicus Brooke (1875) – und zur Stammes- und Verbreitungs",
MUNIC05,166,13,99,0,"From Tierpark Hellabrunn (Munich, Germany).",
MUNIC06,166,13,99,0,"From Tierpark Hellabrunn (Munich, Germany).",
